date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:38:56	247748/247748	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-01.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-01.html	(from )
17:38:57	169/169	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Nov%202023%2010:38:56%20GMT	https://templates.g5plus.net/robots.txt		(from )
17:38:57	4431/4431	---M-Z	200	added ('OK')	application/javascript	etag:%226ac5004d6f53207461eb3159417dd688%22	https://templates.g5plus.net/cdn-cgi/apps/head/2oc_RD5SS6wgN5SiQnSEnWVNHg8.js	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/cdn-cgi/apps/head/2oc_RD5SS6wgN5SiQnSEnWVNHg8.js	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:57	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22645511e6-3aee%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/images/others/favicon.ico	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/images/others/favicon.ico	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:57	29527/29527	---MCZ	200	added ('OK')	text/css	etag:W/%22627ba218-7357%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/lightgallery/css/lightgallery-bundle.min.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/lightgallery/css/lightgallery-bundle.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:57	101709/101709	---MCZ	200	added ('OK')	text/css	etag:W/%2262dea6f0-18d4d%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fontawesome/css/all.min.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/fontawesome/css/all.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:58	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%2262e7f1ee-11846%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/animate/animate.min.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/animate/animate.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:58	1362/1362	---MCZ	200	added ('OK')	text/css	etag:W/%226299f17a-753%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/slick/slick.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/slick/slick.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:58	34832/34832	---MCZ	200	added ('OK')	text/css	etag:W/%22639adfc8-8810%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/vendors/mapbox-gl/mapbox-gl.min.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/vendors/mapbox-gl/mapbox-gl.min.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:38:59	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Cloting_shop01/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:00	501814/501814	---MCZ	200	added ('OK')	text/css	etag:W/%2264805e0c-9b6ae%22	https://templates.g5plus.net/glowing-bootstrap-5/assets/css/theme.css	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/assets/css/theme.css	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:01	457/457	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/index.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/index.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:01	243031/243031	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-02.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-02.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:01	291587/291587	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-03.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-03.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:01	259840/259840	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-04.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-04.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:02	247278/247278	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:10%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/home-05.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/home-05.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
